2020-12-01 10:36:35 |INFO  |main |StartupInfoLogger.java:55 |com.woniu.springboot.portals.SpringbootK15PortalsApplicationTests |Starting SpringbootK15PortalsApplicationTests using Java 1.8.0_45 on DESKTOP-MPPORRH with PID 9156 (started by xiakai in D:\ideaprojects\springboot_k15\springboot_k15_portals)
2020-12-01 10:36:35 |INFO  |main |SpringApplication.java:664 |com.woniu.springboot.portals.SpringbootK15PortalsApplicationTests |The following profiles are active: dev
2020-12-01 10:36:43 |INFO  |main |PropertySourcedRequestMappingHandlerMapping.java:69 |springfox.documentation.spring.web.PropertySourcedRequestMappingHandlerMapping |Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2020-12-01 10:36:44 |INFO  |main |ExecutorConfigurationSupport.java:181 |org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor |Initializing ExecutorService 'applicationTaskExecutor'
2020-12-01 10:36:45 |INFO  |main |DocumentationPluginsBootstrapper.java:160 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Context refreshed
2020-12-01 10:36:45 |INFO  |main |DocumentationPluginsBootstrapper.java:163 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Found 1 custom documentation plugin(s)
2020-12-01 10:36:46 |INFO  |main |ApiListingReferenceScanner.java:41 |springfox.documentation.spring.web.scanners.ApiListingReferenceScanner |Scanning for api listing references
2020-12-01 10:36:46 |INFO  |main |StartupInfoLogger.java:61 |com.woniu.springboot.portals.SpringbootK15PortalsApplicationTests |Started SpringbootK15PortalsApplicationTests in 12.143 seconds (JVM running for 16.715)
2020-12-01 10:36:47 |INFO  |main |DruidDataSource.java:983 |com.alibaba.druid.pool.DruidDataSource |{dataSource-1} inited
2020-12-01 10:36:47 |INFO  |main |SpringbootK15PortalsApplicationTests.java:49 |com.woniu.springboot.portals.SpringbootK15PortalsApplicationTests |高中体育
2020-12-01 10:36:47 |INFO  |main |SpringbootK15PortalsApplicationTests.java:49 |com.woniu.springboot.portals.SpringbootK15PortalsApplicationTests |小学语文
2020-12-01 10:36:47 |INFO  |main |SpringbootK15PortalsApplicationTests.java:49 |com.woniu.springboot.portals.SpringbootK15PortalsApplicationTests |高中几何
2020-12-01 10:36:47 |INFO  |main |SpringbootK15PortalsApplicationTests.java:49 |com.woniu.springboot.portals.SpringbootK15PortalsApplicationTests |小学编程
2020-12-01 10:36:47 |INFO  |main |SpringbootK15PortalsApplicationTests.java:49 |com.woniu.springboot.portals.SpringbootK15PortalsApplicationTests |小学数学
2020-12-01 10:36:47 |INFO  |main |SpringbootK15PortalsApplicationTests.java:49 |com.woniu.springboot.portals.SpringbootK15PortalsApplicationTests |初中平面几何
2020-12-01 10:36:47 |INFO  |main |SpringbootK15PortalsApplicationTests.java:49 |com.woniu.springboot.portals.SpringbootK15PortalsApplicationTests |初中地理解析
2020-12-01 10:36:47 |INFO  |main |SpringbootK15PortalsApplicationTests.java:49 |com.woniu.springboot.portals.SpringbootK15PortalsApplicationTests |小学思想品德
2020-12-01 10:36:47 |INFO  |SpringContextShutdownHook |ExecutorConfigurationSupport.java:218 |org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor |Shutting down ExecutorService 'applicationTaskExecutor'
2020-12-01 10:36:47 |INFO  |SpringContextShutdownHook |DruidDataSource.java:2024 |com.alibaba.druid.pool.DruidDataSource |{dataSource-1} closing ...
2020-12-01 10:36:48 |INFO  |SpringContextShutdownHook |DruidDataSource.java:2096 |com.alibaba.druid.pool.DruidDataSource |{dataSource-1} closed
2020-12-01 10:45:14 |INFO  |restartedMain |StartupInfoLogger.java:55 |com.woniu.springboot.portals.SpringbootK15PortalsApplication |Starting SpringbootK15PortalsApplication using Java 1.8.0_45 on DESKTOP-MPPORRH with PID 10924 (D:\ideaprojects\springboot_k15\springboot_k15_portals\target\classes started by xiakai in D:\ideaprojects\springboot_k15)
2020-12-01 10:45:14 |INFO  |restartedMain |SpringApplication.java:664 |com.woniu.springboot.portals.SpringbootK15PortalsApplication |The following profiles are active: dev
2020-12-01 10:45:14 |INFO  |restartedMain |DeferredLog.java:255 |org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor |Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-12-01 10:45:14 |INFO  |restartedMain |DeferredLog.java:255 |org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor |For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-12-01 10:45:16 |INFO  |restartedMain |TomcatWebServer.java:108 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat initialized with port(s): 80 (http)
2020-12-01 10:45:16 |INFO  |restartedMain |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Initializing ProtocolHandler ["http-nio-80"]
2020-12-01 10:45:16 |INFO  |restartedMain |DirectJDKLog.java:173 |org.apache.catalina.core.StandardService |Starting service [Tomcat]
2020-12-01 10:45:16 |INFO  |restartedMain |DirectJDKLog.java:173 |org.apache.catalina.core.StandardEngine |Starting Servlet engine: [Apache Tomcat/9.0.39]
2020-12-01 10:45:16 |INFO  |restartedMain |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring embedded WebApplicationContext
2020-12-01 10:45:16 |INFO  |restartedMain |ServletWebServerApplicationContext.java:289 |org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext |Root WebApplicationContext: initialization completed in 1842 ms
2020-12-01 10:45:17 |INFO  |restartedMain |PropertySourcedRequestMappingHandlerMapping.java:69 |springfox.documentation.spring.web.PropertySourcedRequestMappingHandlerMapping |Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2020-12-01 10:45:17 |INFO  |restartedMain |ExecutorConfigurationSupport.java:181 |org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor |Initializing ExecutorService 'applicationTaskExecutor'
2020-12-01 10:45:17 |INFO  |restartedMain |OptionalLiveReloadServer.java:58 |org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer |LiveReload server is running on port 35729
2020-12-01 10:45:17 |INFO  |restartedMain |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Starting ProtocolHandler ["http-nio-80"]
2020-12-01 10:45:17 |INFO  |restartedMain |TomcatWebServer.java:220 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat started on port(s): 80 (http) with context path ''
2020-12-01 10:45:17 |INFO  |restartedMain |DocumentationPluginsBootstrapper.java:160 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Context refreshed
2020-12-01 10:45:17 |INFO  |restartedMain |DocumentationPluginsBootstrapper.java:163 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Found 1 custom documentation plugin(s)
2020-12-01 10:45:17 |INFO  |restartedMain |ApiListingReferenceScanner.java:41 |springfox.documentation.spring.web.scanners.ApiListingReferenceScanner |Scanning for api listing references
2020-12-01 10:45:17 |INFO  |restartedMain |StartupInfoLogger.java:61 |com.woniu.springboot.portals.SpringbootK15PortalsApplication |Started SpringbootK15PortalsApplication in 4.714 seconds (JVM running for 6.347)
2020-12-01 10:45:46 |INFO  |http-nio-80-exec-1 |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-12-01 10:45:46 |INFO  |http-nio-80-exec-1 |FrameworkServlet.java:525 |org.springframework.web.servlet.DispatcherServlet |Initializing Servlet 'dispatcherServlet'
2020-12-01 10:45:46 |INFO  |http-nio-80-exec-1 |FrameworkServlet.java:547 |org.springframework.web.servlet.DispatcherServlet |Completed initialization in 1 ms
2020-12-01 10:45:52 |INFO  |http-nio-80-exec-9 |DruidDataSource.java:983 |com.alibaba.druid.pool.DruidDataSource |{dataSource-1} inited
