2020-12-07 13:16:31 |INFO  |main |StartupInfoLogger.java:55 |com.woniuxy.caradmin.CaradminApplicationTests |Starting CaradminApplicationTests using Java 1.8.0_45 on DESKTOP-MPPORRH with PID 19116 (started by xiakai in D:\ideaprojects\carmanagement\caradmin)
2020-12-07 13:16:31 |INFO  |main |SpringApplication.java:664 |com.woniuxy.caradmin.CaradminApplicationTests |The following profiles are active: dev
2020-12-07 13:16:34 |INFO  |main |ExecutorConfigurationSupport.java:181 |org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor |Initializing ExecutorService 'applicationTaskExecutor'
2020-12-07 13:16:36 |INFO  |main |StartupInfoLogger.java:61 |com.woniuxy.caradmin.CaradminApplicationTests |Started CaradminApplicationTests in 7.252 seconds (JVM running for 12.595)
2020-12-07 13:16:37 |INFO  |SpringContextShutdownHook |ExecutorConfigurationSupport.java:218 |org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor |Shutting down ExecutorService 'applicationTaskExecutor'
2020-12-07 13:16:37 |INFO  |SpringContextShutdownHook |DruidDataSource.java:2024 |com.alibaba.druid.pool.DruidDataSource |{dataSource-0} closing ...
2020-12-07 13:19:32 |INFO  |main |StartupInfoLogger.java:55 |com.woniuxy.caradmin.CaradminApplicationTests |Starting CaradminApplicationTests using Java 1.8.0_45 on DESKTOP-MPPORRH with PID 19768 (started by xiakai in D:\ideaprojects\carmanagement\caradmin)
2020-12-07 13:19:32 |INFO  |main |SpringApplication.java:664 |com.woniuxy.caradmin.CaradminApplicationTests |The following profiles are active: dev
2020-12-07 13:19:37 |INFO  |main |PropertySourcedRequestMappingHandlerMapping.java:69 |springfox.documentation.spring.web.PropertySourcedRequestMappingHandlerMapping |Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2020-12-07 13:19:37 |INFO  |main |ExecutorConfigurationSupport.java:181 |org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor |Initializing ExecutorService 'applicationTaskExecutor'
2020-12-07 13:19:38 |INFO  |main |DocumentationPluginsBootstrapper.java:160 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Context refreshed
2020-12-07 13:19:38 |INFO  |main |DocumentationPluginsBootstrapper.java:163 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Found 1 custom documentation plugin(s)
2020-12-07 13:19:39 |INFO  |main |ApiListingReferenceScanner.java:41 |springfox.documentation.spring.web.scanners.ApiListingReferenceScanner |Scanning for api listing references
2020-12-07 13:19:39 |INFO  |main |StartupInfoLogger.java:61 |com.woniuxy.caradmin.CaradminApplicationTests |Started CaradminApplicationTests in 7.939 seconds (JVM running for 10.85)
2020-12-07 13:19:39 |INFO  |SpringContextShutdownHook |ExecutorConfigurationSupport.java:218 |org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor |Shutting down ExecutorService 'applicationTaskExecutor'
2020-12-07 13:19:39 |INFO  |SpringContextShutdownHook |DruidDataSource.java:2024 |com.alibaba.druid.pool.DruidDataSource |{dataSource-0} closing ...
