2020-12-13 18:13:28 |WARN  |restartedMain |ThymeleafAutoConfiguration.java:105 |org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration |Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2020-12-13 18:14:32 |WARN  |restartedMain |ThymeleafAutoConfiguration.java:105 |org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration |Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2020-12-13 18:17:18 |WARN  |restartedMain |ThymeleafAutoConfiguration.java:105 |org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration |Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2020-12-13 18:17:54 |WARN  |http-nio-8081-exec-1 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [java.lang.IllegalArgumentException: JWT String argument cannot be null or empty.]
2020-12-13 18:18:06 |WARN  |http-nio-8081-exec-10 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [java.lang.IllegalArgumentException: JWT String argument cannot be null or empty.]
2020-12-13 18:18:42 |WARN  |http-nio-8081-exec-4 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [java.lang.IllegalArgumentException: JWT String argument cannot be null or empty.]
2020-12-13 19:27:19 |WARN  |main |ParameterDataTypeReader.java:92 |springfox.documentation.spring.web.readers.parameter.ParameterDataTypeReader |Trying to infer dataType java.lang.Integer[]
2020-12-13 19:27:19 |WARN  |main |ParameterDataTypeReader.java:92 |springfox.documentation.spring.web.readers.parameter.ParameterDataTypeReader |Trying to infer dataType java.lang.Integer[]
2020-12-13 19:31:53 |WARN  |restartedMain |ParameterDataTypeReader.java:92 |springfox.documentation.spring.web.readers.parameter.ParameterDataTypeReader |Trying to infer dataType java.lang.Integer[]
2020-12-13 19:31:53 |WARN  |restartedMain |ParameterDataTypeReader.java:92 |springfox.documentation.spring.web.readers.parameter.ParameterDataTypeReader |Trying to infer dataType java.lang.Integer[]
2020-12-13 19:46:59 |WARN  |main |ParameterDataTypeReader.java:92 |springfox.documentation.spring.web.readers.parameter.ParameterDataTypeReader |Trying to infer dataType java.lang.Integer[]
2020-12-13 19:46:59 |WARN  |main |ParameterDataTypeReader.java:92 |springfox.documentation.spring.web.readers.parameter.ParameterDataTypeReader |Trying to infer dataType java.lang.Integer[]
