2020-11-28 09:23:12 |WARN  |restartedMain |ThymeleafAutoConfiguration.java:105 |org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration |Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2020-11-28 09:50:59 |WARN  |main |ThymeleafAutoConfiguration.java:105 |org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration |Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2020-11-28 10:04:29 |WARN  |restartedMain |ThymeleafAutoConfiguration.java:105 |org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration |Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2020-11-28 10:07:23 |WARN  |restartedMain |ThymeleafAutoConfiguration.java:105 |org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration |Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2020-11-28 10:08:01 |WARN  |http-nio-80-exec-8 |AbstractHandlerExceptionResolver.java:207 |org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver |Resolved [K15Exception(code=204, msg=精品课程信息为空)]
2020-11-28 10:11:29 |WARN  |restartedMain |ThymeleafAutoConfiguration.java:105 |org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration |Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2020-11-28 10:11:37 |WARN  |restartedMain |ThymeleafAutoConfiguration.java:105 |org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration |Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2020-11-28 10:11:55 |WARN  |restartedMain |ThymeleafAutoConfiguration.java:105 |org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration |Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2020-11-28 10:12:02 |WARN  |restartedMain |ThymeleafAutoConfiguration.java:105 |org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration |Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2020-11-28 10:12:21 |WARN  |restartedMain |ThymeleafAutoConfiguration.java:105 |org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration |Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2020-11-28 10:12:29 |WARN  |restartedMain |ThymeleafAutoConfiguration.java:105 |org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration |Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
